time,seconds_elapsed,z,y,x
1783244190270870500,0.05787060546875,0.04229449853301048,0.06647822260856628,0.19180983304977417
1783244190280881400,0.06788134765625,0.035748712718486786,0.022575743496418,0.20017056167125702
1783244190290893300,0.077893310546875,0.034562963992357254,-0.004664251580834389,0.22941356897354126
1783244190300904400,0.087904541015625,0.031625229865312576,-0.014132588170468807,0.27405452728271484
1783244190310915600,0.09791552734375,0.01769159734249115,-0.01567322574555874,0.33478835225105286
1783244190320926500,0.107926513671875,0.010594806633889675,-0.009685907512903214,0.3967081904411316
1783244190330938400,0.1179384765625,0.016324736177921295,0.009585571475327015,0.47003310918807983
1783244190340949500,0.127949462890625,0.03699725866317749,0.03201764449477196,0.5479601621627808
1783244190350960400,0.13796044921875,0.06865367293357849,0.06546996533870697,0.6045037508010864
1783244190360972300,0.14797216796875,0.104276642203331,0.11712517589330673,0.6330344676971436
1783244190370983400,0.1579833984375,0.14316412806510925,0.14114537835121155,0.6151030659675598
1783244190380994300,0.167994384765625,0.1653575897216797,0.11424557864665985,0.5613194704055786
1783244190391005400,0.17800537109375,0.15444086492061615,0.05186212435364723,0.500877857208252
1783244190401017300,0.188017333984375,0.12916186451911926,-0.04371047019958496,0.45752450823783875
1783244190411028500,0.198028564453125,0.09798356890678406,-0.1336638331413269,0.4211413562297821
1783244190421039400,0.208039306640625,0.0689026489853859,-0.1684873253107071,0.3980967700481415
1783244190431050500,0.218050537109375,0.046674273908138275,-0.16139428317546844,0.3866840898990631
1783244190441062400,0.2280625,0.03262423723936081,-0.13555096089839935,0.3749781548976898
1783244190451073500,0.238073486328125,0.013690115883946419,-0.09544627368450165,0.34854403138160706
1783244190461084400,0.24808447265625,-0.00989563763141632,-0.051136333495378494,0.31766921281814575
1783244190471096600,0.2580966796875,-0.020930059254169464,-0.04068215936422348,0.27737540006637573
1783244190481107500,0.268107421875,-0.011827107518911362,-0.08059202879667282,0.22492735087871552
1783244190491118300,0.278118408203125,-0.0201563723385334,-0.09349235892295837,0.18208347260951996
1783244190501129500,0.28812939453125,-0.024751124903559685,-0.08764219284057617,0.14348068833351135
1783244190511141600,0.2981416015625,-0.0200367271900177,-0.10562162101268768,0.11529870331287384
1783244190521152500,0.308152587890625,-0.014489362016320229,-0.151195228099823,0.11112499982118607
1783244190531163400,0.318163330078125,-0.00133843207731843,-0.18453454971313477,0.12021206319332123
1783244190541174500,0.328174560546875,0.016104474663734436,-0.18670077621936798,0.1389695107936859
1783244190551186400,0.3381865234375,0.02951337955892086,-0.1755254566669464,0.1588970571756363
1783244190561197600,0.348197509765625,0.026393486186861992,-0.1764434427022934,0.17251193523406982
1783244190571208700,0.358208740234375,0.0060402872040867805,-0.1607394963502884,0.17654818296432495
1783244190581219600,0.368219482421875,-0.015626924112439156,-0.13383224606513977,0.16608968377113342
1783244190591231500,0.3782314453125,-0.0403272844851017,-0.1217266172170639,0.15491002798080444
1783244190601243000,0.388242919921875,-0.06052469462156296,-0.1143704354763031,0.14129914343357086
1783244190611253800,0.398253662109375,-0.06604117900133133,-0.09640856832265854,0.12484563887119293
1783244190621265700,0.408265625,-0.06563185155391693,-0.05964762344956398,0.10889409482479095
1783244190631276500,0.418276611328125,-0.05359962582588196,-0.029051346704363823,0.08656258136034012
1783244190641287700,0.42828759765625,-0.039621759206056595,0.004281307570636272,0.05546324700117111
1783244190651298800,0.438298828125,-0.029680583626031876,0.040612105280160904,0.01599002443253994
1783244190661310700,0.448310791015625,-0.028461385518312454,0.032140057533979416,-0.022899584844708443
1783244190671321600,0.458321533203125,-0.04268000274896622,-0.002284495159983635,-0.06242914870381355
1783244190681332500,0.46833251953125,-0.06337010860443115,-0.030019454658031464,-0.08240126073360443
1783244190691344000,0.47834375,-0.06764621287584305,-0.060102298855781555,-0.07208269089460373
1783244190701355800,0.488355712890625,-0.05639861524105072,-0.06668882817029953,-0.048597343266010284
1783244190711366700,0.49836669921875,-0.042356181889772415,-0.04506329447031021,-0.014275135472416878
1783244190721377500,0.50837744140625,-0.024952955543994904,-0.009401971474289894,0.01886151358485222
1783244190731388700,0.518388671875,-0.01098406221717596,0.024692468345165253,0.04212762042880058
1783244190741400800,0.52840087890625,0.0012992358533665538,0.05019916221499443,0.048587918281555176
1783244190751411700,0.53841162109375,0.003793634008616209,0.07265779376029968,0.03751670569181442
1783244190761422600,0.548422607421875,0.0012127647642046213,0.08335038274526596,0.015035366639494896
1783244190771434800,0.558434814453125,-0.0047646439634263515,0.06419651210308075,-0.01235654391348362
1783244190781445600,0.568445556640625,-0.0018021431751549244,0.037835743278265,-0.03878229111433029
1783244190791456800,0.578456787109375,0.010093223303556442,0.029055507853627205,-0.05413604900240898
1783244190801467600,0.588467529296875,0.0193993728607893,0.025004839524626732,-0.051157303154468536
1783244190811479600,0.5984794921875,0.020322754979133606,0.02847469039261341,-0.042177509516477585
1783244190821490700,0.60849072265625,0.015666484832763672,0.04267386719584465,-0.0290321446955204
1783244190831501800,0.618501708984375,0.007932224310934544,0.06624703854322433,-0.011950995773077011
1783244190841512700,0.6285126953125,0.009757021442055702,0.09788326174020767,-0.0009350962936878204
1783244190851524600,0.638524658203125,0.021212894469499588,0.11678222566843033,-0.0036165816709399223
1783244190861535700,0.64853564453125,0.020227259024977684,0.1162695661187172,-0.015804538503289223
1783244190871546600,0.658546630859375,0.014722385443747044,0.102834053337574,-0.030832143500447273
1783244190881557800,0.668557861328125,0.009889280423521996,0.08763166517019272,-0.03911350667476654
1783244190891569700,0.678569580078125,0.011888809502124786,0.062333423644304276,-0.038910556584596634
1783244190901580500,0.68858056640625,0.02172253094613552,0.04759815335273743,-0.028965512290596962
1783244190911591700,0.698591796875,0.03385206311941147,0.03736873343586922,-0.01435539685189724
1783244190921603600,0.708603515625,0.04596305638551712,0.023223085328936577,0.0008145011961460114
1783244190931614700,0.71861474609375,0.05006222426891327,0.019537992775440216,0.008715583011507988
1783244190941625600,0.72862548828125,0.0475870817899704,0.019116414710879326,0.013190492987632751
1783244190951636700,0.73863671875,0.030477462336421013,0.023389412090182304,0.016492430120706558
1783244190961648600,0.748648681640625,0.014573064632713795,0.044280048459768295,0.016906019300222397
1783244190971659800,0.75865966796875,0.0034664522390812635,0.058661945164203644,0.009648771025240421
1783244190981670700,0.768670654296875,-0.00000497838482260704,0.06127530336380005,-0.0009191844146698713
1783244190991681500,0.778681640625,0.0009451627265661955,0.04931822419166565,-0.012475669384002686
1783244191001693700,0.788693603515625,0.00603286549448967,0.03363113850355148,-0.025773897767066956
1783244191011704600,0.79870458984375,0.006472830660641193,0.025649651885032654,-0.03767947480082512
1783244191021715700,0.8087158203125,0.0027281600050628185,0.03142125532031059,-0.046804796904325485
1783244191031727900,0.818727783203125,0.002192229963839054,0.04893284663558006,-0.050444670021533966
1783244191041738800,0.82873876953125,0.006175519898533821,0.06237674877047539,-0.05063668265938759
1783244191051749600,0.83874951171875,0.000930755864828825,0.05292866379022598,-0.048102010041475296
1783244191061760800,0.8487607421875,-0.010549066588282585,0.028944499790668488,-0.038834743201732635
1783244191071772700,0.858772705078125,-0.01735556311905384,-0.012520295567810535,-0.016226401552557945
1783244191081783800,0.86878369140625,-0.010720830410718918,-0.04303479194641113,0.01678933948278427
1783244191091794700,0.878794677734375,-0.0017007961869239807,-0.050184790045022964,0.04885390028357506
1783244191101805600,0.8888056640625,0.002566652838140726,-0.03752998262643814,0.07719312608242035
1783244191111817500,0.8988173828125,0.010748544707894325,-0.0028205164708197117,0.09310299903154373
1783244191121828900,0.908828857421875,0.02083074115216732,0.04516804963350296,0.08908215910196304
1783244191131839700,0.91883984375,0.03299899026751518,0.07758378237485886,0.06352247297763824
1783244191141850600,0.9288505859375,0.027582386508584023,0.08408802002668381,0.01806657388806343
1783244191151862500,0.938862548828125,0.017320509999990463,0.07242269068956375,-0.035920560359954834
1783244191161873700,0.948873779296875,0.015262152999639511,0.04486216977238655,-0.0834537222981453
1783244191171884800,0.958884765625,0.01775767281651497,0.028243288397789,-0.11783794313669205
1783244191181896700,0.968896728515625,0.021719390526413918,0.008142282254993916,-0.13342329859733582
1783244191191907600,0.978907470703125,0.022745845839381218,-0.004300507251173258,-0.12756650149822235
1783244191201918700,0.988918701171875,0.02577625773847103,-0.007773535326123238,-0.10562551766633987
1783244191211929900,0.998929931640625,0.02627783827483654,-0.003112948499619961,-0.07231287658214569
1783244191221941800,1.008941650390625,0.031669408082962036,-0.009955408051609993,-0.025333914905786514
1783244191231952600,1.01895263671875,0.03359771519899368,-0.01685713604092598,0.015334654599428177
1783244191241963500,1.028963623046875,0.0357961542904377,-0.0245685838162899,0.05132594704627991
1783244191251974700,1.038974609375,0.030771814286708832,-0.016441326588392258,0.07275167852640152
1783244191261986800,1.04898681640625,0.02226914092898369,-0.009332283399999142,0.07966497540473938
1783244191271997700,1.058997802734375,0.012209653854370117,0.002601643092930317,0.07277482002973557
1783244191282008600,1.069008544921875,0.0026584931183606386,0.008439292199909687,0.052665289491415024
1783244191292019700,1.079019775390625,-0.003371323924511671,0.009248471818864346,0.026665473356842995
1783244191302032000,1.089031982421875,-0.00876156147569418,0.009553936310112476,0.004426748026162386
1783244191312042800,1.099042724609375,-0.006564711220562458,0.007719905115664005,-0.010437987744808197
1783244191322053600,1.1090537109375,-0.0003227940760552883,0.014881943352520466,-0.01713157631456852
1783244191332065500,1.1190654296875,0.005515167489647865,0.019689586013555527,-0.018906623125076294
1783244191342076700,1.12907666015625,0.004039776045829058,0.02242332138121128,-0.017484761774539948
1783244191352087800,1.139087890625,-0.0024483087472617626,0.015424326062202454,-0.014271823689341545
1783244191362098700,1.1490986328125,-0.011435944586992264,0.003120522014796734,-0.0081044752150774
1783244191372110600,1.159110595703125,-0.017054231837391853,0.0047316160053014755,0.0019559478387236595
1783244191382121700,1.169121826171875,-0.013671750202775002,0.007443512789905071,0.013512201607227325
1783244191392132900,1.1791328125,-0.005665922071784735,0.00880521908402443,0.02367922104895115
1783244191402143700,1.189143798828125,0.003134759608656168,0.011338417418301105,0.0295267216861248
1783244191412155600,1.19915576171875,0.012952952645719051,0.014858733862638474,0.022481130436062813
1783244191422166500,1.20916650390625,0.01361155230551958,0.025591272860765457,0.011838873848319054
1783244191432177700,1.219177734375,0.005807674489915371,0.037394218146800995,-0.004303013440221548
1783244191442188800,1.229188720703125,0.0032904543913900852,0.04603804275393486,-0.019001265987753868
1783244191452200700,1.23920068359375,0.0026150119956582785,0.047967225313186646,-0.03128311038017273
1783244191462211600,1.249211669921875,0.006318403407931328,0.04113168641924858,-0.04328811168670654
1783244191472222500,1.259222412109375,0.008656632155179977,0.019079988822340965,-0.04915960133075714
1783244191482234600,1.269234619140625,0.013296658173203468,-0.011451289057731628,-0.04140634089708328
1783244191492245800,1.279245849609375,0.024355700239539146,-0.04584122076630592,-0.020961251109838486
1783244191502256600,1.289256591796875,0.029541941359639168,-0.06341169029474258,0.0023118467070162296
1783244191512267500,1.299267578125,0.024113811552524567,-0.06314593553543091,0.030404500663280487
1783244191522279700,1.30927978515625,0.014159448444843292,-0.038401708006858826,0.059937089681625366
1783244191532290800,1.319290771484375,0.008109958842396736,-0.00031205383129417896,0.08113738894462585
1783244191542301700,1.3293017578125,0.000731670530512929,0.03853840380907059,0.08297736197710037
1783244191552312600,1.3393125,-0.0072325123474001884,0.05377914384007454,0.06380792707204819
1783244191562324700,1.34932470703125,-0.015109609812498093,0.04040501266717911,0.03277651593089104
1783244191572335600,1.359335693359375,-0.02615554817020893,0.017329981550574303,0.0023631290532648563
1783244191582346800,1.3693466796875,-0.031298376619815826,-0.00025593675673007965,-0.019740842282772064
1783244191592357600,1.379357666015625,-0.03188221901655197,-0.003369466867297888,-0.0301005057990551
1783244191602369800,1.389369873046875,-0.02434786781668663,0.0016623097471892834,-0.029846439138054848
1783244191612380700,1.399380615234375,-0.02284100465476513,0.008460930548608303,-0.022123856469988823
1783244191622391800,1.409391845703125,-0.0288685392588377,0.0281483493745327,-0.012426752597093582
1783244191632403700,1.41940380859375,-0.02963886968791485,0.030673157423734665,-0.006584925577044487
1783244191642414800,1.429414794921875,-0.023672059178352356,0.017128054052591324,0.00007350929081439972
1783244191652425700,1.43942578125,-0.01598377898335457,-0.0013308478519320488,0.003473833668977022
1783244191662436600,1.4494365234375,-0.0066017284989356995,-0.016368387266993523,0.006181203294545412
1783244191672448500,1.459448486328125,-0.002582817804068327,-0.019253931939601898,0.00952279381453991
1783244191682460000,1.4694599609375,0.0020811762660741806,-0.019016645848751068,0.018325606361031532
