time,seconds_elapsed,z,y,x
1783246128352867000,0.0688671875,-10.768147592002153,-5.923950488275289,-2.3267691691353916
1783246128362879000,0.07887890625,-12.059098087644577,-5.164057418635487,-1.6479313115470111
1783246128372890000,0.08889013671875,-12.307069808906316,-4.801383505655825,-0.12322114160237833
1783246128382902300,0.09890234375,-11.099834538304805,-5.6826206892460585,2.4494972847901284
1783246128392914200,0.1089140625,-9.29397520290613,-6.648507456117868,5.176782460173964
1783246128402926000,0.118926025390625,-8.353350303062797,-6.770921537387371,6.631477995383739
1783246128412937200,0.128937255859375,-7.910549837183952,-6.2871244597315785,6.2143684356004
1783246128422949000,0.13894921875,-7.698326890173554,-5.893897879838943,4.5020600750803945
1783246128432961000,0.1489609375,-7.957858116325736,-5.66790301258564,2.6625787483260033
1783246128442973200,0.15897314453125,-8.889439878013729,-4.673324988758564,1.3568814960591493
1783246128452985000,0.168985107421875,-8.628004864066838,-2.852553330910206,0.6388034419070929
1783246128462996000,0.178995849609375,-7.673297078335285,-1.1973875380650163,-0.2725163799315691
1783246128473008000,0.189008056640625,-6.5131637506484985,-0.34526012910306453,-2.1529938800714907
1783246128483020000,0.19902001953125,-4.737275190621614,-0.381923387850821,-4.269228055283427
1783246128493032000,0.209031982421875,-2.752881242802739,-0.7638292400449513,-5.507127928739786
1783246128503043000,0.21904296875,-1.0949398477643728,-0.8592141523525119,-4.457132845856249
1783246128513055000,0.229054931640625,-1.145693883445859,-0.08528612761944532,-0.6662597502399236
1783246128523067000,0.23906689453125,-2.7739731306701896,1.3899138509586453,3.4687434475362298
1783246128533079000,0.2490791015625,-3.9495354981571436,2.6056623906224963,5.544916099864244
1783246128543091000,0.259091064453125,-5.145236398309469,2.9767925817802547,4.858203417247534
1783246128553102000,0.26910205078125,-5.666679023748636,2.2091452447518707,2.98895151386857
1783246128563114200,0.2791142578125,-4.529515652760863,0.9598740824535489,1.629216381943971
1783246128573126100,0.289126220703125,-2.361317627686262,0.025809271778166294,0.6910860023301094
1783246128583138000,0.299137939453125,0.1624398021876812,-0.4988987851977348,-0.02176693758480251
1783246128593149200,0.309149169921875,2.7961370316833256,-0.7370011466130614,-0.4273603201627731
1783246128603161000,0.3191611328125,5.011258135974407,-0.7353864048928022,-0.5157808733504265
1783246128613173000,0.329173095703125,6.743274236527085,-0.5428399259939789,-0.27980573322214186
1783246128623185200,0.33918505859375,7.994833802023529,-0.20932430295944213,0.14723784914165736
1783246128633197000,0.349197021484375,8.817091265639663,0.11330138500928878,0.6590748802371322
1783246128643208000,0.3592080078125,9.079020785105229,0.40498277639895675,1.2843918677791952
1783246128653220000,0.36922021484375,9.127992613545059,1.1035396260663866,1.7341297317057847
1783246128663232000,0.37923193359375,8.365376256421207,1.0974819334626198,2.361938682194054
1783246128673244000,0.389243896484375,5.966272211176157,0.3735375445604324,2.5354969675064085
1783246128683256000,0.399256103515625,5.475681820118427,0.6490078058615326,2.1913608739972115
1783246128693267200,0.40926708984375,4.841857847124338,1.3724106352329253,1.523928061389923
1783246128703279000,0.419279052734375,4.409501033848524,1.6458543591424821,0.8655246506735682
1783246128713291300,0.429291259765625,4.729940025427937,1.6215771192371844,0.7499146964609622
1783246128723303200,0.43930322265625,5.010681212869287,1.6120967587083577,0.5803211500611156
1783246128733314000,0.44931396484375,5.572445327302813,1.7670120106101035,0.5503883320795372
1783246128743326200,0.459326171875,6.165646198007464,2.0327599193200467,0.8839505342021584
1783246128753338000,0.469338134765625,6.529722671261429,2.21092774425447,1.1573111098729074
1783246128763350000,0.47935009765625,7.120708788526057,2.3061457755625248,1.2093489017546175
1783246128773362200,0.489362060546875,7.8820906354188915,2.4770436094939705,1.344717741665244
1783246128783373000,0.499373046875,8.666454129448532,2.7115438547641038,1.2875447788521646
1783246128793385000,0.509385009765625,9.221642372623085,2.43054109377712,0.7429130010053515
1783246128803397000,0.519397216796875,9.256819484466314,1.7838138000681996,0.022124043926782903
1783246128813409000,0.529408935546875,9.334072820016742,1.6242863781958818,-0.7080741812057793
1783246128823420200,0.539420166015625,9.258252147617936,2.4960192358598112,-1.1935246520917862
1783246128833432300,0.549432373046875,8.617903741291165,2.3514207953110335,-1.4088687267974018
1783246128843444200,0.5594443359375,7.321296242800354,1.3403724059373139,-1.264964405992627
1783246128853456100,0.5694560546875,6.194807995083928,1.2451836007237433,-0.7295812257453799
1783246128863468300,0.57946826171875,4.724949962055683,1.942163410332799,-0.6093765641536564
1783246128873479200,0.589479248046875,1.7965666063964365,2.229064289447665,-0.905750789534673
1783246128883491000,0.599490966796875,-6.354892758578061,1.4681114816218614,-1.0691155976127833
1783246128893503200,0.609503173828125,-4.905207160484791,-0.28888503866940735,-1.4824720154076814
1783246128903515100,0.61951513671875,-6.0489341277718545,-2.455590194837749,-2.5425679288059473
1783246128913526000,0.629526123046875,-6.739752492141723,-4.250309127540886,-2.539256027778983
1783246128923538000,0.639537841796875,-7.199068624013662,-4.986082193663716,-1.8370254580348728
1783246128933550000,0.649550048828125,-9.754042445406316,-4.693641508339345,-0.85871862392053
